source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
8.0,accuracy_score,0.5816733067729084,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
8.0,recall_score,0.5004916420845624,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
8.0,precision_score,0.6052318668252081,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
8.0,f1_score,0.5479009687836384,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
9.0,accuracy_score,0.8590637450199203,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
9.0,recall_score,0.9079754601226994,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
9.0,precision_score,0.8214616096207216,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
9.0,f1_score,0.8625546381738709,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
10.0,accuracy_score,0.8222111553784861,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
10.0,recall_score,0.8259668508287292,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
10.0,precision_score,0.8422535211267606,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
10.0,f1_score,0.8340306834030683,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
11.0,accuracy_score,0.5,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
